# C3X vane profile transformed to NASA Fig. 8 U/V modeling frame
# x_mm = V_mm, y_mm = U_mm; blade min(V,U) shifted to (0,0)
# source profile is configs/c3x_coordinates.csv
point,x_mm,y_mm
408,21.289746265,1.468189798
409,20.784893502,1.270968068
410,20.284848466,1.080321226
411,19.789046096,0.898041050
412,19.297402526,0.722246988
413,18.809980771,0.552110928
414,18.325119441,0.402937237
415,17.839634202,0.282430001
416,17.353347169,0.184096372
417,16.871716833,0.107879095
418,16.395369735,0.052425315
419,15.921585187,0.016075386
420,15.455018009,0.000000000
421,14.996962881,0.003648189
422,14.543696573,0.023803778
423,14.099060873,0.061109161
424,13.665778143,0.115480789
425,13.239215423,0.182321677
426,12.821758884,0.262725348
427,12.417158478,0.358787757
428,12.022735591,0.466457647
429,11.636237530,0.582691764
430,11.262101810,0.711245276
431,10.903495489,0.854468545
432,10.552019767,1.001154668
433,10.209665467,1.153246312
434,9.882611090,1.317819315
435,9.575324504,1.499729977
436,9.278176610,1.684795196
437,8.987491333,1.867771927
438,8.703375187,2.048726895
